날짜,사건,추가 정보,기간
39000 BC,Laschamp event,"Laschamps event(라샹 사건)은 지자기 회유(Geomagnetic excursion)였다. 대략 41,000년(±2000) 전 마지막 빙하기가 끝날 무렵에 발생했는데, 1960년대 프랑스 클레르몽페랑(Clermont-Ferrand)의 라샹(Laschamps) 용암류에서 발견되었다. 지구자기장이라는 방패막의 손실은 호주의 거대동물 멸종, 네안데르탈인의 멸종, 동굴 예술의 출현에 기여했다는 주장이 있다.",0
38000 BC,네안데르탈인 멸종,"네안데르탈인은 해부학적 현생인류가 유럽 대륙에 도달한 이후인 지금으로부터 4만여 년 전에 유럽에서는 절멸했다. 아시아에서는 그보다 좀 더 오래 생존했을 가능성도 있다. 네안데르탈인은 현생인류와 한동안 공존했으며, 현생인류와의 혼혈도 발생했다.",0
38000 BC,현생인류 출현,"신인(新人)은 인류진화에서 최종 단계의 인류서 현생인류(現生人類)라고도 한다. 학명은 Homo sapiens sapiens 이다. 신인의 출현은 플라이스토세 최후의 빙하기 중 첫번째와 두번째의 빙하진출기 사이라고 생각된다. 종래에는 7만 년 전쯤이라고 추정되었으나 최근의 연대측정에 의하면 4만 년 이상은 되지 않았다고 한다. 신인은 문화면에서는 후기 구석기 문화에 속했으며, 구인단계에 비해 진보된 문화단계에 있었다.",0
37280 BC,캄피 플레그레이 화산폭발,캄피 프레그레이 화산이 분출한 시기가 이미 혹한이 지속되고 있던 마지막 빙하기여서 이미 자리잡고 살던 네안데르탈인과 유럽에 막 도착한 현생인류에겐 견디기 힘든 혹독한 환경이었을 것이라고 지적했다.,0
31000 BC,Mono Lake 지자기 회유?,"가장 최근에 일어난 지자기 회유는 Mono Lake 회유로 약 33,000년 전에 발생하였다. 시기에 대해 다양한 의견이 있다.",0
26500 BC,타우포 화산폭발,"오루아뉘 대분화(Oruanui Eruption)는 이 화산이 26,500년 전 화산 폭발 지수 8에 속하는 초거대 화산 폭발을 일으킨 것을 말한다.",0
24500 BC,마지막 최대 빙하기,"마지막 최대 빙하기(LGM, Last Glacial Maximum)란 약 2만 6500년~1만 9000년 전 거대한 빙하가 북미와 유럽 및 남미의 절반과 아시아의 많은 부분을 덮고 있던 매우 추운 시기로, 인간을 비롯해 추위에 적응한 동식물이 번성했었다.",24500 BC ~ 17000 BC
13000 BC,개 가축화,"유전자 연구에 따르면 개는 늑대로부터 약 10만 년 전 이전에 분리된 것으로 추측되며, 2013년 개의 화석을 이용한 분석에서는 33,000 - 36,000년 전 사이에 분화가 이루어 졌을 것으로 보고 있다. 개가 인간에 길들여진 시기는 약 1만 5천 년 전 이후 또는 1만 4천 년 ~ 1만 2천 년 전으로 추정되며, 최소한 9천 년 전에는 가축으로 기르고 있었다.",0
10930 BC,Laacher 화산폭발,"기원전 1만 900년 전 즈음 라허Laacher 화산이 폭발한다. 격렬한 폭발은 그저 며칠 동안 지속되고 말지만, 이는 넓디넓은 지대를 먼지로 뒤덮기에 충분한 시간이다. 오늘날 '라허 부석응회암'이라는 이름으로 알려진 퇴적물이 바로 이때 만들어지며, 이 암석은 현재 중부 유럽 전역에서 발견된다. 라허 화산의 마지막 분출은 화산 폭발 지수 6에 달했다.",0
10900 BC,영거 드라이아스,"약 12,900년 ~ 11,700년 전에 갑자기 닥쳤던 한랭기. 유럽에서 처음으로 쓰인 용어로 마지막 빙기가 끝나가는 과정에서 기후가 아주 나빠져 빙하의 후퇴가 지체되거나 혹은 오히려 다시 전진했던 시기.",10900 BC ~ 9700 BC
