공고명,회사명,대표자명,자본금,업종,주요사업내용,회사주소,모집직종,관련직종,직무내용,접수마감일,고용형태,모집인원,장애인채용인원,임금조건,경력조건,학력,키워드,외국어능력,전공,자격면허,병역특례채용희망,컴퓨터활용능력,우대조건,고용허가제,작업환경,기타우대사항,전형방법,접수방법,제출서류준비물,제출서류양식첨부,근무예정지,인근전철역,버스노선,근무형태,근무시간,연금사회보험,퇴직금지급방법,복리후생,장애인편의시설
"[애플코리아 유환회사][장애인만 채용] 애플코리아 애플스토어 스페셜리스트 10명 채용(~6/23)
			
		",애플코리아 유환회사,PeterR.Denwood,-,컴퓨터제조업,"컴퓨터,통신기기판매등","(135798)서울특별시강남구영동대로517,아셈타워3901(삼성동)",가전판매원(컴퓨터포함),-,"○근무장소:애플스토어가로수길점,잠실점,강남점,여의도점,명동점○채용직무:애플스페셜리스트*판매및고객안내,상담직○고용형태:계약직12개월후정규직전환(정규직전환율90%이상)○근무시간:주5일40시간또는주4일20시간시프트근무,근무시간은업무필요에따라탄력적으로운영*근무스케줄에따라3~4주에한주씩주말근무필수*근무시간대8:00~17:00,9:45~18:45,11:00~20:00,12:00~21:00,13:30~22:30○급여수준:주5일40시간기준월300만원수준,세부사항은회사내규에따름○요구역량-Apple제품의기술에대한강한흥미및새로운제품과기능을빠르게배울수있는능력-어떠한환경에서든뛰어난고객경험을제공하고지속적인개별상호작용을통해활기를얻을수있는능력-고객한명과대화하듯소규모그룹과도자유롭고편안하게대화할수있는커뮤니케이션기술-Apple에대한열정을가지고다른사람들과이러한열정을공유하려는욕구-사람들이쉽게다가올수있고경청하며공감하는강력한대인관계기술○전형절차:서류전형→온라인화상면접→오프라인면접→채용*7-8월중순차적으로이력서검토후면접예정○접수방법:자유양식이력서와자기소개서이메일제출(sh.lee@kead.or.kr)-2023.6.23.(금)18시까지도착한지원서이며아래메일제목및지원서파일제목준수한경우만지원유효*메일제목/파일명:애플스토어_매장명_이름ex)애플스토어_가로수길점_홍길동○기타사항:장애인'스페셜리스트'채용관련직무설명등채용설명회예정으로참석권장-일시:2023.06.17.(토)8시45분~10시-장소:애플스토어여의도점-기타:혼잡도방지를위해선착순15명으로인원제한하며지원희망자는가급적설명회참석권장※아래채용설명회사전등록링크에반드시등록해야참석가능https://events.apple.com/content/events/pst/us/en/default.html?token=xww6uj7woR0X9A3e-aIMQkJVdH60MurN7MAvJSY75sHQxWqaTEhMjEmalXqC7MMJuZhb5cjK2_RsJEnGDWirXhcGlvVfbeOSca2wjYDoLAT3ZxkrhScVysOjblOcH9Hx-Q&a=1&Locale=ko_KR&l=e",2023년06월23일마감시간:24시(D-13),기간의정함이있는근로계약12개월,"10명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",10명,"월급3,000,000원이상~3,000,000원이하:0%",관계없음,학력무관,-,-,-,-,비희망,"문서작성(워드프로세스활용),표계산(스프레드시트활용),프레젠테이션프로그램활용",-,-,작업장소:선택안함.드는힘:5Kg이내의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:정밀한작업양손사용:양손으로작업,-,"서류,면접",기타(이력서및자기소개서이메일(sh.lee@kead.or.kr)),"이력서,자기소개서,경력증명서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시강남구영동대로517,(삼성동)서울특별시강남구영동대로517,(삼성동)",-,-,주5일근무,※상세근무시간08:00~22:30중8시간주소정근로시간:40시간,-,퇴직금,-,"장애인용승강기,장애인용화장실,기타(점자블록,장애인용세면장)"
"[서울특별시농수산식품공사][서울시농수산식품공사] 장애인 체험형 청년인턴 채용(23.6.5.(월)~23.6.15.(목) 18시)
			
		",서울특별시농수산식품공사,김경호,-,기타부동산임대업,임대업,"(05699)서울특별시송파구양재대로932,서울시농수산식품공사(가락동)",사무보조원(공공기관),-,"[장애인만채용]○사업체명:서울시농수산식품공사○근무지:서울시송파구양재대로932(3,8호선가락시장역인근)○직무:일반행정(기초자료조사,통계작성,행정업무지원)○근무유형:체험형청년인턴(6개월)○채용인원:5명○근무시간:주4일(월~목요일),일8시간(9:00~18:00)-근무일자,근무시간조정될수있음○급여수준:월급여1,870,000원(급식비10만원포함),4대보험,퇴직금○지원자격:임용예정일기준만34세이하의청년장애인만지원(1988.7.4.이후출생자)○지원불가:-서울시농수산식품공사인턴근무경험이있는자-입사제출서류에허위사실이발견된자-그외인사규정제14조에따른결격사유에해당하는자○채용절차:서류접수(~6.15.(목))→면접(6.23.(금))→최종합격자(6.27.(화))발표→근무시작일(7.3.(월))○지원방법:한국장애인고용공단담당자에게jsy828@kead.or.kr로공사양식이력서를이메일접수-지원서제목:서울시농수산식품공사_지원자이름OOO-채용공고문첨부파일의공사지원서양식반드시사용할것(지원서가보이지않으면워크투게더→간편우리지사채용정보→서울동부지사로검색하면서울시농수산식품공사의채용공고문을보실수있습니다.)○문의:한국장애인고용공단서울동부지사(02-2146-3589,jsy828@kead.or.kr)",2023년06월15일마감시간:24시(D-5),기간의정함이있는근로계약6개월,"5명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",5명,"월급1,870,000원이상~1,870,000원이하:0%",신입,학력무관,-,-,-,-,비희망,문서작성(워드프로세스활용),-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:일부서서하는일듣고말하기:간단한듣고말하기필요시력:비교적큰인쇄물을읽을수있는정도손작업:정밀한작업양손사용:양손으로작업,-,"서류,면접",기타(jsy828@kead.or.kr로공사양식지원서송부),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시송파구양재대로932,(가락동)서울특별시송파구양재대로932,(가락동)",-,-,주5일근무,※상세근무시간8시간주소정근로시간:32시간,-,퇴직금,-,-
"[주식회사 태안모터스][태안모터스] 정규직 미화직무 장애인 채용 (~완료시 마감)
			
		",주식회사 태안모터스,서덕중,-,자동차신품판매업,"자동차,자동차부품,자동차정비",(22228)인천광역시미추홀구인주대로434번길3(주안동),환경미화원,-,"1.업체명:태안모터스2.근무지:서울시강남구도곡로121,아우디빌딩(강남역인근)3.직무내용:건물의내부사무실,공용부분(복도,계단,화장실,엘리베이터등)청소4.인원및고용형태:2명,정규직(1-6개월수습기간)5.근무시간:월~금06:00~10:306.급여:시급10,000원이상7.지원자격:겸업금지8.지원방법:이력서및자기소개서를jiyeyu@kead.or.kr로제출-메일제목:태안모터스_성명9.문의:서울동부지사유지예대리(jiyeyu@kead.or.kr),02-2146-3530",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약,"2명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",2명,"시급10,000원이상~10,000원이하",관계없음,학력무관,-,-,-,-,비희망,문서작성(워드프로세스활용),-,-,작업장소:선택안함.드는힘:5Kg이내의물건을다룸서거나걷기:일부서서하는일듣고말하기:듣고말하기중요시력:일상적인활동이가능한정도손작업:큰물품의조립작업양손사용:양손으로작업,-,"서류,면접","방문,기타(이력서및자기소개서를jiyeyu@kead.or.kr로제출)","이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시강남구도곡로121,(역삼동)서울특별시강남구도곡로121,(역삼동)",-,-,주5일근무,※상세근무시간4시간주소정근로시간:20시간,-,퇴직연금,-,-
"[동경(주)잠실지점][송추가마골] 정규직 장애인 채용 (~채용 완료시 마감)
			
		",동경(주)잠실지점,김재민,-,육류가공식품도매업,숙박및음식점업,"(05510)서울특별시송파구송파대로570,지하1층(신천동)",주방보조원(일반음식점),-,"[장애인만채용,중증및장년장애인우대]1.회사명:(주)동경잠실지점-송추가마골2.채용직무:세척및주방보조직무3.근무형태:1개월이상의수습기간후평가에따라정규직전환가능4.근무시간:일8시간,주5일근무(주40시간근무)5.근무장소:서울시송파구송파대로570,타워730지하1층(2,8호선잠실역인근)6.급여수준:세전월급254만원이상7.지원자격:식기세척,주방조리보조가능한분8.지원방법:한국장애인고용공단서울동부지사메일jsy828@kead.or.kr로지원서송부9.문의사항:한국장애인고용공단02-2146-3589",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"월급2,540,000원이상~2,540,000원이하:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:양손으로작업,-,-,기타(jsy828@kead.or.kr로지원서송부),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시송파구송파대로570,(신천동)서울특별시송파구송파대로570,(신천동)",-,-,주5일근무,※상세근무시간협의주소정근로시간:40시간,-,퇴직연금,-,"장애인용주차장,장애인용화장실"
"[월스트리트인스티튜트코리아(주)][월스트리트인스티튜트] 정규직 미화직 장애인근로자 채용
			
		",월스트리트인스티튜트코리아(주),조재범,"2,000,000백만원",외국어학원,교육서비스업,"(03159)서울특별시종로구종로33,그랑서울타워1,6층(월스트리트잉글리쉬)",환경미화원,-,"○사업체명:월스트리트인스티튜트코리아(주)○근무지:서울시강남구강남대로84길16,월스트리트잉글리쉬지점9층(2호선강남역인근)○직무:사무실환경미화○근무유형:정규직(전환전1~6개월수습기간이있음)○채용인원:1명○근무시간:주5일,일4시간(오전7:00~11:00)○급여수준:월급여1,010,000원○지원자격:학력,성별,장애유형및정도무관○지원방법:한국장애인고용공단담당자에게jsy828@kead.or.kr로자유양식이력서를이메일접수○문의:한국장애인고용공단서울동부지사(02-2146-3589,jsy828@kead.or.kr)",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"월급1,010,000원이상~1,010,000원이하:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:간단한듣고말하기필요시력:비교적큰인쇄물을읽을수있는정도손작업:작은물품의조립작업양손사용:양손으로작업,-,"서류,면접",기타(jsy828@kead.or.kr로지원서송부),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"서울특별시강남구강남대로84길16,(역삼동)서울특별시강남구강남대로84길16,(역삼동)",-,-,주5일근무,※상세근무시간7:00~11:00주소정근로시간:20시간,-,퇴직금,-,-
"[삼성생명보험(주)][장애인만 채용] 삼성생명 경기권 마케팅사무보조직 채용
			
		",삼성생명보험(주),전영묵,-,투자자문업및투자일임업,보험금융업,"(06620)서울특별시서초구서초대로74길11,(서초동,삼성전자서초사옥)(서초동)","기타서비스단순종사원(사우나,찜질방정리원등)",-,"[장애인만채용]삼성생명부천권사무보조직채용공고1.채용직무:사무보조2.근무지:경기부천기부천로453.모집인원:2명4.자격요건:PC사용자우대(필수X)6.고용형태:계약직(최초1년계약후1년연장가능)7.근무시간:주5일(평일)4시간근무/08:30~12:30또는13:30~17:30(시간협의)8.급여:월1,174,000원(세전금액/명절상여금각40만원별도)9.지원방법:이메일로입사지원서제출(jungeunkim@kead.or.kr)※채용일정-지원서접수:6/2(금)~6/23(금)12:00-면접:6/28(수)~6/30(금)-채용검진:7/5(수)예정-입사일:7/12(수)예정문의:031-500-2434(경기서부지사김정은대리)",2023년06월23일마감시간:24시(D-13),기간의정함이있는근로계약12개월,"2명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",2명,"월급1,174,000원이상~1,174,000원이하:0%",관계없음,학력무관,-,-,-,-,비희망,문서작성(워드프로세스활용),-,-,작업장소:선택안함.드는힘:5Kg이내의물건을다룸서거나걷기:일부서서하는일듣고말하기:듣고말하기중요시력:비교적큰인쇄물을읽을수있는정도손작업:작은물품의조립작업양손사용:양손으로작업,-,"서류,면접",기타(이메일로서류제출(jungeunkim@kead.or.kr)),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"경기도부천시부천로45,(심곡동)경기도부천시부천로45,(심곡동)",-,-,주5일근무,※상세근무시간일4시간주소정근로시간:20시간,-,퇴직금,-,"장애인용주차장,장애인용화장실"
"[(사)동행플러스 완성보호작업장](사)동행플러스 완성보호작업장 채용공고
			
		",(사)동행플러스 완성보호작업장,조순희,-,그외기타협회및단체,인쇄물제조,"(14319)경기도광명시하안로108,(소하동)(,에이스광명타워)","인쇄,목재,가구및기타제조분야단순종사원",-,"[장애인만채용]-사업장:사단법인동행플러스완성보호작업장-소재지:경기도광명시하안로108,613호-채용직무:단순노무(책인쇄및포장,송장부착등)-고용형태:시간제(근무기간은면접시협의)-근무시간:오후2시~5시(일3시간)평일근무-급여:시급9,620원-모집기간:~채용시-제출서류:이력서-지원방법:이메일로서류제출(coast514@kead.or.kr)문의:031-500-2435(경기서부지사박주원대리)",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약(시간(선택)제),"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"시급9,620원이상~9,620원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5Kg이내의물건을다룸서거나걷기:일부서서하는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:큰물품의조립작업양손사용:양손으로작업,-,-,기타(이메일로서류제출(coast514@kead.or.kr)),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"경기도광명시하안로108,(소하동)613호경기도광명시하안로108,(소하동)613호",-,-,주5일근무,※상세근무시간14:00~17:00주소정근로시간:15시간,-,퇴직금,-,"장애인용주차장,장애인용승강기,건물내부경사로"
"[한강미디어고등학교][장애인만 채용]한강미디어고등학교 미화원(분리수거 관리 등) 채용
			
		",한강미디어고등학교,곽노현,-,기타일반공공행정,행정기관,"(07206)서울특별시영등포구선유로55길22,한강미디어고등학교(양평동4가)",환경미화원,-,"[장애인만채용]한강미디어고등학교미화직채용-수행직무:분리수거장관리및반납,교내1층바닥청소-근무시간:평일주5일,07:00~11:30(11시~11시반휴게시간)-임금:시급12,030원-고용형태:계약직1개월반(6.19.~7.31.)-기타사항:분리수거및카트운반시걷는작업이필요함-모집기간:~6.16.(채용시마감)※지원희망시이력서(자유양식)이메일로제출*제출이메일주소:hjh693@kead.or.kr*제출시메일제목및파일명에'한강미디어고등학교_이름OOO'반드시기재*워크넷/워크투게더로지원불가,반드시이메일제출",2023년06월16일마감시간:24시(D-6),기간의정함이있는근로계약2개월,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"시급12,030원이상~12,030원이하",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:5~20Kg의물건을다룸서거나걷기:오랫동안서거나걷는일듣고말하기:간단한듣고말하기필요시력:일상적인활동이가능한정도손작업:작은물품의조립작업양손사용:한손으로보조하는작업,-,"서류,면접",기타(이메일제출(hjh693@kead.or.kr)),이력서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능,등록된파일이없습니다.,"서울특별시영등포구선유로55길22,(양평동4가)서울특별시영등포구선유로55길22,(양평동4가)",-,-,주5일근무,※상세근무시간07:00~11:30주소정근로시간:20시간,-,퇴직금,-,"장애인용승강기,건물내부경사로,장애인용화장실"
"[인하대학교]인하대학교 환경미화 장애인 직원 채용
			
		",인하대학교,조명우,-,교육행정,대학교,"(22212)인천광역시미추홀구인하로100,인하대학교본관1층101호","건물청소원(공공건물,아파트,사무실,병원,상가,공장등)",-,[장애인만채용]인하대학교내청소직무ㅇ직무-여성:환경미화-남성:재활용품분리수거ㅇ근무시간-여성:06:30~10:30or14:00~18:00-남성:06:30~10:30or12:00~16:00,2023년06월16일마감시간:24시(D-6),기간의정함이있는근로계약12개월,"3명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",3명,"월급1,050,000원이상~1,050,000원이하:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접",기타(david0915@kead.or.kr로이력서송부),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"인천광역시미추홀구인하로100,(용현동)인천광역시미추홀구인하로100,(용현동)",-,-,주5일근무,※상세근무시간09:00~or14:00~주소정근로시간:20시간,-,퇴직금,-,-
"[에이원심사손해사정][장애인만 채용] 에이원심사손해사정 청소 관리자 직무 채용
			
		",에이원심사손해사정,박종홍,-,손해사정업,손해사정업,"(07208)서울특별시영등포구선유로49길23,아이에스비즈타워2차13층1302호(양평동4가)","건물청소원(공공건물,아파트,사무실,병원,상가,공장등)",-,"[장애인만채용]ㅇ업무:사무직청소ㅇ근무지:대전광역시중구중앙로76,영민빌딩ㅇ채용인원:1명ㅇ1년계약직(수습기간3개월)후정규직전환ㅇ근무시간:09:00~13:30(30분휴게시간)ㅇ임금지급형태:월1,050,000원ㅇ제출서류:이력서,자기소개서ㅇ지원방법:jh9977@kead.or.kr(이메일접수)",2023년06월30일마감시간:24시(D-20),기간의정함이없는근로계약,"1명지원현황:총0명(취업알선기관알선취업알선기관알선관할고용센터(또는취업알선기관)의취업알선서비스를통해알선된알선자수.관할취업알선기관의취업알선담당자에게서비스를요청하시기바랍니다.:0명,워크투게더입사지원워크투게더입사지원워크투게더웹사이트를통해워크투게더입사지원한지원자수.채용정보상세화면상/하단워크투게더입사지원기능을이용하시기바랍니다.:0명)",1명,"월급1,050,000원이상~1,050,000원이하:0%",관계없음,학력무관,-,-,-,-,비희망,-,-,-,작업장소:선택안함.드는힘:선택안함.서거나걷기:선택안함.듣고말하기:선택안함.시력:선택안함.손작업:선택안함.양손사용:선택안함.,-,"서류,면접",기타(이메일jh9977@kead.or.kr),"이력서,자기소개서※정부민원포털(www.minwon.go.kr)에서주민등록등초본등각종제증명발급가능",등록된파일이없습니다.,"대전광역시중구중앙로76,(대흥동)대전광역시중구중앙로76,(대흥동)",-,-,주5일근무,※상세근무시간4시간일(09:00~13:30)주소정근로시간:20시간,-,퇴직금,-,-
