,차시,업종,직무,학습동영상 보기,url
0,1,교육 서비스업,원예교육보조교사,"



",https://eduvod.kead.or.kr/VW/01/01.html
1,2,농업,새싹재배사,"



",https://eduvod.kead.or.kr/VW/02/01.html
2,3,사업지원 서비스업,무인자판기관리원,"



",https://eduvod.kead.or.kr/VW/03/01.html
3,4,,사무보조원,"



",https://eduvod.kead.or.kr/VW/04/01.html
4,5,,온라인패커,"



",https://eduvod.kead.or.kr/VW/05/01.html
5,6,,의류매장정리원,"



",https://eduvod.kead.or.kr/VW/06/01.html
6,7,,클린마스터,"



",https://eduvod.kead.or.kr/VW/07/01.html
7,8,,편의점정리원,"



",https://eduvod.kead.or.kr/VW/08/01.html
8,9,수리 및 개인 서비스업,간병보조원,"



",https://eduvod.kead.or.kr/VW/09/01.html
9,10,,방진복세정원,"



",https://eduvod.kead.or.kr/VW/10/01.html
10,11,,스팀세차원,"



",https://eduvod.kead.or.kr/VW/11/01.html
11,12,,자전거정비사,"



",https://eduvod.kead.or.kr/VW/12/01.html
12,13,,휠마스터,"



",https://eduvod.kead.or.kr/VW/13/01.html
13,14,"예술, 스포츠, 오락, 여가 서비스업",놀이공원캐스터,"



",https://eduvod.kead.or.kr/VW/14/01.html
14,15,,삽화디자이너,"



",https://eduvod.kead.or.kr/VW/15/01.html
15,16,,생활체육보조코치,"



",https://eduvod.kead.or.kr/VW/16/01.html
16,17,,호텔객실정리원,"



",https://eduvod.kead.or.kr/VW/17/01.html
17,18,음식점업,주방보조원,"



",https://eduvod.kead.or.kr/VW/18/01.html
18,19,,제과제빵원,"



",https://eduvod.kead.or.kr/VW/19/01.html
19,20,,티마스터,"



",https://eduvod.kead.or.kr/VW/20/01.html
20,21,전문 서비스업,진단검사의학보조원,"



",https://eduvod.kead.or.kr/VW/21/01.html
21,22,정보서비스업,데이터매니저,"



",https://eduvod.kead.or.kr/VW/22/01.html
22,23,,음성전달사,"



",https://eduvod.kead.or.kr/VW/23/01.html
23,24,제조업,종이상자제조원,"



",https://eduvod.kead.or.kr/VW/24/01.html
